"item_no","brief_description"
"8604","1/2"" x 2""  LOC ENDMILL  4"" AOL"
"8605","HOLDER"
"8607","EDP 74408 - 3.0 THREAD INSERT"
"8608","EDP 72106   2 FLUTE THREAD MILL"
"8609","END MILL HOLDER"
"8611","SHRINK FIT HOLDER"
"8612","SHELL MILL HOLDER"
"8613","REAMER"
"8614","HOLDER ADAPTOR"
"8615","HOLDER"
"8618","20.05MM X 1:8 TAPER REAMER"
"8619","INSERT"
"8620","INSERT"
"8624","SEAL KIT FOR 15-0618-00"
"8626","22 MM C-BORE INSERTS"
"8627","FINISH CENTER BORE CHAMFER"
"8628","ROUGH FLANGE BORE CHAMFER"
"8629","6MM DRILL"
"8630","22MM C-BORE PILOT"
"8631","ROUGH CENTER BORE CHAMFER"
"8632","26MM DRILL CHAMFER"
"8633","FINISH FLANGE BORE CHAMFER"
"8634","22MM C-BORE CUTTER BODY"
"8635","5MM TAP DRILL"
"8642","BACK CHAMFER TOOL"
"8643","DRILL AND SPOTFACE COMBO TOOL BODY"
"8644","SPOTFACE INSERT"
"8645","17.5MM DRILL"
"8656","INSERT"
"8664","ENDMILL"
"8668","CLAMP"
"8672","COLLET"
"8677","6K BUSHING PRESS LOWER SNAP RING BLK-DET#10"
"8678","7K DRIVER - DET #8"
"8679","7K SNAP RING SPREADER-DET #13"
"8680","6K DRIVER - DET#5"
"8681","EXPORT DRIVER - DET #6"
"8682","NOSE CONE FOR 2ND OP ATTACHMENTS"
"8683","6K SNAP RING SPREADER-DET #14"
"8685","7K BUSHING PRESS LOWER SNAP RING BLK-DET# 11"
"8687","20 MM SHRINK FIT"
"8688","5MM 20XD DRILL SAME AS CCC-21208"
"8689","7K SWING CLAMP ARM/JO#23994-13"
"8690","PCBN TIPPED INSERT"
"8695","BAR"
"8709","DET 2"
"8710","DET 52"
"8711","DET 9"
"8712","DET 12"
"8713","DET 10"
"8726","TOOL BAR"
"8742","LRG INSERT"
"8743","OUTSIDE INSERT SCREW"
"8744","SCREW"
"8745","26MM ENDMILL 4.0 OAL 20MM SHANK"
"8751","INSERT"
"8752","SCREW"
"8753","INSERT"
"8754","DRILL"
"8766","67642496"
"8775","DEEP GROOVE INSERT"
"8802","TURN TOOL"
"8848","CAT 50 HOLDER"
"8872","HOLDER"
"8875","T19 ANGLE HEAD"
"8879","T27"
"8889","SCREW"
"8906","CLAMP SCREW"
"8928","FULLERTON 92215"
"8935","INSERT"
"8936","CAT50-20MM-6"
"8938","LH ANGLE HEAD HOLDER"
"8939","COLLET"
"8940","CT50-100TG-3.50"
"8941","SHORT EXTENSION"
"8942","COLLET"
"8944","INSERT   EDP 15946"
"8946","13.4MM ENDMILL 2 FLUTE 85MM FLUTE"
"8947","2"" CUTTER"
"8948","30.2 DRILL BODY"
"8949","CAT 50 ER32"
"8950","ER32  SIZE 6"
"8966","NER-164D"
"8969","5.13T20P"
"8970","T WRENCH"
"8971","MOUNTING SCREW"
"8972","CP-1103  (CCC-31811)"
"8980","CAT40 ER16-6"" 22231-DIN"
"8987","CV40BHC050375"
"9000","25.4MM EM HOLDER 101.6MM LPR CAT40ADB"
"9037","LONG 1/8-27 NPTF TAP"
"9068","CAT 40 - DIN COOLANT PULL STUD Makino A-61"
"9069","WOODRUFF KEY"
"9076","13.5MM DRILL"
"9087","PLUNGER STOP"
"9090","BOSCH ASSEMBLY"
"9092","PALLET STUD"
"9116","CAT40 X ER32-4"
"9125","2.394 2ND OP COLLET"
"9131","INDEXABLE HOLDER"
"9142","CAT40 X FMA1-1/4-6"
"9152","YG1-EMB 12020 - 5/16, .813 DEPTH OF CUT"
"9153","EXPORT DET# 26"
"9154","560 DRIVER"
"9155","INSERT  EDP#05140222"
"9156","DRILL BODY  EDP# 3240670"
"9157","EDP# 58420"
"9159","DET # 29 FOR JD SHANK FIXTURE"
"9160","RELAXED COLLET"
"9161","DIN 6325"
"9162","SPRING PLUNGER"
"9168","FACEMILL"
"9173","DRAW BOLT"
"9174","GROOVE BAR"
"9175","INSERT"
"9176","INSERT"
"9177","DRILL BODY"
"9178","INSERT"
"9179","DRILL"
"9180","SEALED SLOTS COLLET"
"9181","COLLET"
"9187","COATED CBN FINISHING INSERT  EDP33335"
"9188","TOOL BODY"
"9189","INSERT"
"9191","TOOL BAR: ETD TO MODIFY TO M-1139 PRINT"
"9192","SHIM"
"9193","INSERT"
"9194","INSERT"
"9196","INSERT    EDP78954  REPLACED MK1500"
"9197","DOUBLE OCTOMILL   EDP 45142"
"9198","WEDGE   EDP 17467"
"9199","LOCATING MANDREL"
"9200","FLOATING MANDREL"
"9201","HEAT SHRINK 12MM HOLDER"
"9202","ROUND NOSE SPRING PLUNGER"
"9203","BROACHING INSERT"
"9204","SUB110.1000.1.02 BROACH HOLDER"
"9209","84979202"
"9210","23.3MM X 254MM 2F2H JG GRIND"
"9211","1:5 TAPER REAMER"
"9212","K-BODY HONE STONES"
"9214","LH 6K KNUCKLE FIXTURE DETAIL"
"9215","D BLOCK"
"9216","DIAMOND PIN LOCATOR"
"9217","CROWDER FOR 8/32 SCREW"
"9218","TOOL 21 STEEL BODY FOR G-DRILL"
"9219","G-DRILL"
"9220","INSERT"
"9223","13.7MM 5XD COOLANT THRU DRILL FIREX COATING"
"9224","ROUGH & FINISH BORE CHAMFER TOOL"
"9225","6.780MM 3 FLUTE DRILL FOR M8 X 1.25 TAP"
"9226","93460A505"
"9227","EDP 16055"
"9229","CNMG432 EGUW-AC405K"
"9230","CNMA432-AC410K"
"9231","CAT 40 COLLET HOLDER"
"9232","DIAMOND TIPPED INSERT"
"9233","GRIPPER BUTTON"
"9234","MP7 Renishaw HEAD"
"9235","COMBO TOOL - MW-11294-B"
"9236","EZ BURR BLADE"
"9237","HHS DEBURRING TOOL"
"9238","FINISH BORING TOOL"
"9239","ROUGH BORING TOOL"
"9240","INSERT"
"9242","COMBO DRILL - MW-11295-B"
"9243","SLEEVE BUSHING"
"9245","CYLINDER FOR 6K KNUCKLE"
"9246","HARLEY SHRINK FIT HOLDERS"
"9248","SEAL KIT FOR 15-2205-01"
"9250","EDP 3103163"
"9251","EDP 5613608  REPLACES TT6030"
"9252","EDP 5613609"
"9253","WEDGE"
"9254","WEDGE SCREW"
"9256","EDP 12638"
"9257","DRILL BODY"
"9258","DRILL SHANK"
"9259","DRILL TIP"
"9261","CLAMPING SCREW"
"9265","INSERT"
"9266","END EFFECTOR"
"9267","DIAMOND PIN"
"9268","LOCATOR BUTTON"
"9269","DRAW BOLT"
"9270","TRACK GUIDE REST BUTTONS"
"9288","REST BUTTON"
"9289","INSERT SCREW"
"9290","REST BUTTONS"
"9291","O-PACK"
"9292","FINISHER CARTRIDGE"
"9294","3I/8-16 X 7 1/2 SHCS"
"9295","SEALED COLLET"
"9296","SEALED COLLET"
"9301","16MM HYDRAULIC CHUCK"
"9312","INSERT SCREW FOR RIGIBORE"
"9314","8.8 STEP DRILL"
"9315","1"" X 4"" X 7"" OAL ENDMILL"
"9328","INSERT SCREWS"
"9329","EDP 36260"
"9333","M10 TAP DRILL 36.50MM DEPTH"
"9334","SPOTFACE INSERT"
"9335","11MM PILOT FOR SPOTFACE"
"9337","3/16 ENDMILL"
"9338","5MM 5 X D COOLANT THRU DRILL"
"9340","SPRING PLUNGER"
"9341","COLLET"
"9342","CYLINDERS"
"9345","GRIPPER BLOCKS FOR BIRD CAGE FIXTURE"
"9347","ROUGH FLANGE BORE"
"9348","ROUGH THREAD BORE"
"9349","FINISH THREAD BORE"
"9350","ROUGH CENTER BORE"
"9351","FINISH CENTER BORE"
"9352","FINISH 108.20 BORE"
"9353","3 FLUTE SPIRAL PT"
"9356","CLAMP SCREW"
"9357","CAT 40 Makino COOLANT THRU RETENTION KNOB"
"9360","RH CYLINDER"
"9364","COLLET STOP"
"9365","COLLET STOP"
"9366","INSERT  - replaces KCK15"
"9367","11.0 G-DRILL"
"9368","6.4 G-DRILL"
"9370","9.525 G-DRILL"
"9371","LATHE BUSHING ARBOR"
"9372","INSERT"
"9374","SPOTFACE 22MM"
"9375","SPECIAL TPMT ROMICRON CARTRIDGE"
"9376","FINISH BORE TOOL 115.11MM"
"9377","ROUGH BORE AND CHAMFER 115.11MM"
"9378","MICRO ADJUSTABLE CARTRIDGE"
"9382","160MM FACEMILL"
"9384","8.5MM DRILL FOR M10 TAP"
"9385","10.5MM STEP DRILL 20M LOF"
"9386","1.730"" ROUND SERRATED BORE COLLET PADS"
"9387","GRIPPER PAD"
"9388","COLLET STOP WITH I.D. 1.750"""
"9389","ER20 11MM SEALED COLLET"
"9390","ER25 14MM SEALED COLLET"
"9396","INSERT 16 SIDED"
"9397","2.5"" FACE MILL"
"9398","CYLINDER"
"9399","SEAL KIT FOR 15-1205-01R"
"9402","SCREW"
"9403","WEDGE"
"9404","27MM Shellmill holder 21MM projection CV40"
"9405","SQUARE SIX TOOL MILL CUTTER"
"9406","CARTRIDGE"
"9409","INSERT"
"9410","FLAT BOTTOM QUAD DRILL"
"9411","COLLET SPACER"
"9412","INSERT replaced CNMG432UN KCK15"
"9414","GRIPPER"
"9415","GRINDING WHEEL"
"9416","12.4MM SHRINK FIT"
"9421","CENTER DEAD CNC NUT"
"9422","SWING CLAMP"
"9423","SWING CLAMP"
"9424","CYLINDER"
"9425","COLLET"
"9427","SEAL KIT FOR 20-0110-01"
"9428","COLLET FOR STUD MACHINE"
"9429","STAMP PIN"
"9430","EDP 45136"
"9431","EDP 51194"
"9432","SPRING CLIP"
"9433","MAG-MATE"
"9434","LOWER POWER ROD STYLE ""B"" SINGLE CHARACTER IMPACT"
"9435","LOWER POWER ROD STYLE REBUILD KIT"
"9436","SEALED SPLINED ARBOR FOR RDU FLANGE"
"9437","ADJUSTABLE SPLINE LOCATOR W/ PART STOP"
"9438","EDP 3769408"
"9439","SPECIAL ROMICRON BACK BORING TOOL"
"9440","SPECIAL ROMICRON BORE TOOL"
"9441","RADIAL MOUNT ROMICRON CARTRIDGE"
"9442","EDP 1871110"
"9443","SEAL KIT FOR 15-2213-01"
"9444","5.5MM DRILL 44MM LOF 6MM SHANK"
"9445","CBN INSERT  EDP 33334"
"9449","VALVE DECOUPLER"
"9450","SEAL KIT FOR 10-0509-030405"
"9451","O-RINGS FOR BEARING CAP FIXTURE"
"9452","FULL NOSE RADIUS GROOVE INSERT"
"9453","1.508"" ROUND SMOOTH BORE COLLET PAD"
"9454","DISC MILL"
"9455","NOSE CONE FOR WHIRLPOOL HUB"
"9456","INSERT SCREW"
"9459","FACEMILL"
"9460","INSERT"
"9461","3/8 REAMER"
"9462","HYDRAULIC CHUCK"
"9464","GRIPPER BLOCK FOR BIRD CAGES"
"9467","DET # 25"
"9468","DET#30"
"9469","CAT40C X SFC 5/16 - 88.9MM"
"9470","1/2"" 4fl endmill 1"" LOC"
"9471","5/8 4 FL ENDMILL 1 1/4 LOC"
"9473","FIXTURE COMPONENT FOR TRACK GUIDES"
"9474","LIMITER VALVE"
"9475","RED DIE SPRINGS"
"9477","ROUND PIN"
"9478","8.3MM 12XD DRILL"
"9481","1.5"" FACEMILL"
"9482","TURBO TOP JAWS"
"9483","PRICK PUNCH"
"9484","DET# 5 CLAMP FINGER FOR SLIP YOKES"
"9487","8.3MM START DRILL"
"9489","85203925 MSC Industrial Supply #"
"9490","GETRAG FIXTURE PLUNGER"
"9492","DT0034 WINTER DRESSER FDS-9028"
"9496","INSERT"
"9499","DRAW BOLT FOR RTA"
"9500","10MM SHRINKFIT HOLDER 88.9 PRJECTION EDP 66559"
"9503","DET# 6 DIAMOND PIN FOR NAVISTAR"
"9504","DET #7 ROUND PIN FOR NAVISTAR"
"9505","HELICAL DRILL COOLANT THRU"
"9507","1"" X 2"" BLUE DIE SPRINGS"
"9508","1 X 1 3/4 BLUE DIE SPRINGS"
"9509","PCD LATHE INSERT"
"9510","PCD LATHE INSERT"
"9511","ENDMILL"
"9512","ENDMILL"
"9513","COMBO DRILL"
"9514","COMBO DRILL"
"9515","6.95 MM DRILL"
"9516","4.8 MM DRILL"
"9518","M16 PORT TOOL"
"9519","M18 PORT TOOL"
"9520","M16 PORT TOOL"
"9521","3/4"" TO 3/8"" MILLING CHUCK REDUCER SLEEVE"
"9522","3/4"" MILLING CHUCK"
"9523","2.5 MM DRILL"
"9525","3/16 ENDMILL"
"9526","3/4"" TO 8MM REDUCER SLEEVE"
"9527","3/4"" TO 6MM REDUCER SLEEVE"
"9528","3/4"" TO 10MM REDUCER SLEEVE"
"9530","3/4"" TO 8MM REDUCER SLEEVE"
"9531","34/4"" TO 6MM REDUCER SLEEVE"
"9532","3/4"" TO 1/4"" MILLING CHUCK REDUCEER SLEEVE"
"9533","3/4"" MILLING CHUCK"
"9534","3/4"" TO 3/8 MILLING CHUCK REDUCER SLEEVE"
"9535","1ST OP LOCATOR PIN"
"9540","GRIPPING PIN DET 9"
"9541","AIR DETECT LOCATOR"
"9550","DRILL"
"9551","DRILL"
"9552","DRILL"
"9553","M16 PORT INSERT"
"9554","M16 PORT TOOL"
"9555","DRILL"
"9559","HEAVY METAL BORING BAR"
"9560","HEAVY METAL BORING BAR"
"9567","GROOVE INSERT"
"9571","M12 PORT TOOL"
"9572","M12 PORT INSERT"
"9573","M12 PORT TOOL"
"9574","DRILL"
"9575","M18 PORT TOOL"
"9576","M18 PORT INSERT"
"9577","M18 PORT DRILL"
"9578","DRILL"
"9579","M16 PORT TOOL"
"9580","M16 PORT DRILL"
"9581","DRILL"
"9582","M14 PORT G-SPOT INSERT"
"9583","M14 PORT G-SPOT DRILL"
"9605","EDP 39988"
"9608","MADISON FACE DRIVER"
"9609","MADISON RH CENTRAL DRIVE PINS"
"9610","1.5MM X 6H THREAD MILL"
"9611","M16PORT INSERTS"
"9612","1.25MM X 6H THREAD MILL"
"9618","CLAMP ARMS FOR COPELAND EXHAUST"
"9619","BARREL SEALS FOR BOSCH MANIFOLD"
"9623","RDU DANA COMPANION FLANGE TOP HARD JAWS"
"9624","16MM 4FL 57MM LOC 125MM OAL ENDMILL"
"9655","COLLET CHUCK"
"9660","SHRINK FIT HOLDERS"
"9664","HEAT SHRINK 16 X 160MM"
"9668","HEAT SHRINK"
"9669","HEAT SHRINK"
"9670","HEAT SHRINK 20 X 130MM"
"9675","HEAT SHRINK"
"9676","10.5MM DOUBLE MARGIN DRILL"
"9678","6.2MM DRILL"
"9684","JAW ACTUATOR FOR PBL-08 CENTRALIZING CHUCK"
"9685","M8 X 1.25 MORSE TAP"
"9686","CAPTO HYDRO GRIP PENCIL CHUCK"
"9697","ENDMILL"
"9698","FLOW CONTROL"
"9702","HOLDER"
"9703","HOLDER"
"9705","DRILL"
"9706","INSERT"
"9708","NEXTEER COLLET"
"9709","NEXTEER COLLET"
"9714","DRILL TIP  - REPLACED KC7315"
"9715","DRILL CHAMFER SPOT"
"9716","INSERT - REPLACED KC7815"
"9719","JAWS  (3 pcs per set)   OP#10 JAWS"
"9720","CENTER POINT"
"9723","BORING BAR"
"9724","INSERT"
"9725","M16 X 1.5 PORT 90 DEG"
"9726","M18 X 1.5 PORT 90 DEG"
"9728","EDP 3769151"
"9729","EDP 3769153"
"9730","TOYOTA ATTACHMENTS"
"9731","6K/7K KNUCKLE TERTIARY  BUTTONS"
"9732","DANA SLIP YOKE DATUM BUTTON"
"9734","ROUND LOCATING PIN A-LOAD"
"9735","DIAMOND LOCATING PIN A-LOAD"
"9736","ROUND LOCATING PIN B-LOAD"
"9737","DIAMOND LOCATING PIN B-LOAD"
"9738","1.5"" FACEMILL"
"9739","1.25"" DIAMETER EXTENSION"
"9740","8.5MM TAP DRILL"
"9744","M8 TAP DRILL"
"9745","16MM Shrinkfit holder 195MM projection DIN/CAT50"
"9751","9.3MM TAP DRILL"
"9752","17.00MM DRILL"
"9753","13.64MM DRILL"
"9754","4.8MM DRILL"
"9761","MODULAR BLADE"
"9762","1-1/4"" SQUARE SHANK HOLDER"
"9763","INSERT   EDP 543582"
"9766","SPLINED ARBOR FOR FORD FLANGE"
"9767","GRIPPER CONTACT BOLT"
"9768","INSERT"
"9770","ROLLER BURNISHER"
"9771","ROLLER BURNISHER"
"9772","FLOATING HOLDER"
"9773","HOLDER"
"9775","16MM Shrinkfit holder 245MM projection DIN/CAT50"
"9776","EDP 01670"
"9777","G-SPOT INSERT"
"9778","G-SPOT DRILL"
"9779","TAPERED ENDMILL"
"9780","G-SPOT BODY"
"9789","6K KNUCKLE FIXTURE COMPONENT"
"9790","COUNTERWEIGHT SHAFTS"
"9791","1ST OP BALANCER PUSHER PIN LOCATOR"
"9792","1ST OP LINK CLAMP SPACER"
"9793","FLAT CONTACT SPACER"
"9794","MODIFIED SPEEDGRIP COLLET"
"9795","MODIFIED SPEEDGRIP COLLET"
"9798","INSERT"
"9799","DIAMOND INSERT"
"9800","DIAMOND INSERT"
"9801","EDP 43240"
"9802","13.5MM LONG DRILL"
"9803","11MM DRILL"
"9804","SPOT FACE INSERTS"
"9805","11MM DRILL BODY"
"9806","14MM SLIM LINE"
"9808","YODER SPARE CHUCK AND JAWS COMPLETE"
"9809","TURBO 970 A/B JAWS"
"9813","TURBO CHUCK JAW BOLTS"
"9814","LATHE DIAMOND PINS"
"9815","PINS FOR LATHE CHUCK"
"9824","SEALED COLLET 1.905 W 1/8 X 30 DEG FRONT CHAMFER"
"9825","SEALED COLLET 1.886  W/ 1/8 X 30 DEG FRONT CHAMFER"
"9827","BROACH HOLDER"
"9828",".375 BROACH INSERT"
"9829","BRAZED TIP TAPER REAMER"
"9830","10.5MM G-DRILL"
"9831","DET# 48 DRAW BAR"
"9832","USM BRACKET"
"9833","CONTACT BUTTON"
"9834","PIN"
"9835","TURBO VTL DATUM BLOCKS FOR 495/496"
"9836","TURBO VTL DATUM BLOCKS FOR 3232"
"9837","EGR BRACKET LOCATOR"
"9838","HOLDER"
"9839","CYLINDERS"
"9840","KT-100JN"
"9841","KT-82JN"
"9843","INSERT"
"9845","ISC-5605623 16 CORNER INSERT"
"9846","ISC-5606285  8 CORNER WIPER"
"9847","4"" FACEMILL HEAD  ISC-3105683"
"9848","PRESSURE SPRING PLUNGER"
"9849","PRESSURE SPRING PLUNGER"
"9852","3232 TURBO JAW"
"9853","495/6 TURBO JAW"
"9860","FACEMILL   EDP 45143"
"9861","3/8-16 X 7-1/2"" LONG SHCS"
"9863","FIXTURE BLOCK"
"9864","SPACERS FOR OLD FORD YOKE FIXTURE"
"9865","1/4"" DRILL  EDP 18068"
"9866","LEAK TESTER INK"
"9868","HORIZONTAL FIXTURE COLLET"
"9869","SHAFT"
"9871","GROOVING INSERT W-/ .125MM CORNER RADIUS"
"9872","BRONZE SPRING FOR KNUCKLES"
"9873","DETAIL 103 FOR IROSS FIXTURE"
"9875","SUNNEN STONES"
"9878","6K KNUCKLE FIXTURE ITEM"
"9880","DETAIL 103 FOR 7K KNUCKLE"
"9881","COPELAND CYLINDER HEADS"
"9882","5/16-24 ROUND DATUM BUTTON FOR DANA SLIP YOKE"
"9883","51882 YOKE SCREW"
"9884","1 X 2.5 BLUE DIE SPRINGS"
"9887","SOCKET M10-1.5 X 12MM KNURLED CUP POINT"
"9889","INSERT  EDP 15345"
"9890","MASTER COLLET -REDUCED NOSE SIZE"
"9891","SWING ARM CLAMP"
"9892","1.783 ROUGH BORE"
"9895","13.4mm drill - replaced 609"
"9896","END EFFECTOR FOR COUNTERWEIGHTS"
"9897","CTC OP10 ASHTRAY SUB JAW"
"9898","CTC OP10 ASHTRAY TOP JAW"
"9899","CTC OP 10 TRIANGLE SUB JAWS"
"9900","CTC OP 10 TRIANGLE TOP JAW"
"9901","CTC OP10 TRIANGLE TOP JAW"
"9902","CTC OP10 TRIANGLE TOP JAW"
"9903","WRENCH     EDP 15176"
"9905",".375 7LB END FORCE STL PUSH FIT SPRING PLUNGER"
"9907","BLACK CHINA MARKERS"
"9909","SHOULDER BOLT   75C200KSS/IMP"
"9910","1/2 X 1/2 SOCKET SHOULDER SCREW"
"9912","EDP 3751507 MEDIUM WIPER INSERT"
"9916","CLAMP"
"9917","18 GEN 3 XT C2 AM300 3/4"" C1"
"9918","21.52 60 DEG .251C X .094T X .031R C5"
"9919","DRILL BODY"
"9920","SWING CLAMP ARM FOR KSR"
"9921","SWING CLAMP ARM FOR KSR"
"9922","LOCATOR INSERT"
"9923","IROSS DETAIL"
"9924","IROSS DETAILS"
"9925","END EFFECTOR"
"9926","SWING CLAMP EXTENSION"
"9927","JAW INSERT"
"9928","3/8"" COUPLER"
"9929","FACEMILL 5 TOOTH   EDP 43722"
"9930","#2 SERIES 2 STEP T-A ICS HOLDER"
"9931","2.5 SERIES T-A ICS HOLDER"
"9932","INSERT SCREW"
"9933","75C200KSS"
"9934","DATUM FOR TURBOS"
"9935",".397 DIAMETER"
"9936","DRILL FOR BALANCER"
"9937","STAB LEG"
"9938","TREPAN INSERTS"
"9939","LH SWING CLAMP WITH 45 DEG ROTATION"
"9942","F-1034-41   (6K DRAW BARS)"
"9943","DET & DIAMOND PIN FOR 6K YOKES"
"9954","CL-6-PSP-2"
"9955","3600 BEARING CAPS END EFFECTOR"
"9956","EDP 18093"
"9964","ACCUMULATOR"
"9965",".25 X .50 MAGNET"
"9967","ROUGH BORE TOOL"
"9968","BACK UP RING O-RING"
"9969","O-RING"
"9970","TANGED SPRING PLUNGER"
"9971","13.5MM DRILL W/REDUCED SHANK"
"9973","500 LB SWING CYLINDER"
"9974","HOLDER"
"9975","M18 PORT DRILL - LONGER SHANK"
"9976","LEFT HAND CARTRIDGE"
"9978","EDP 26699"
"9981","3 1/8"" OD X 2 3/8"" ID X 1/2"" THICK"
"9982","INSERT"
"9984","GMT 560 YOKE CLAMP EXTENSION"
"9985","BLADDER ACCUMULATOR"
"9988","973B"
"9989","973A"
"9990","G-SPOT HOLDER"
"9991","WAVE SPRING"
"9992","INSERT SCREW 7019041"
"9994","EDP 16228"
"9995","344-0366 END EFFECTORS"
"9996","CONVEYOR PLUG POKE-YOKE"
"9997","CONVEYOR PLUG POKE-YOKE"
"9998","GUNITE SLACK ADJUSTER COLLET"
"9999","CAT BEARING CAPS DETAIL 21"
"10136","TENDO FLANGE HOLDER"
"10137","EDP 31732"
"10139","INSERT"
"10142","FAT BOY YOKES DETAIL  (5/8-11X10 1/2)"
"10143","EDP 39564"
"10144","3.50""OD X 1.625"" ID X 1/4"" THICK"
"10149","18MM SLIM LINE HYDRALIC"
"10160","33MM INDEXABLE DRILL"
"10161","INSERT"
"10162","INSERT"
"10163","CL-436-RLT"
"10164","CL-436-DLT"
"10165","BALL STAKING LOWER JAW"
"10166","FINGER"
"10167","RDU GRINDER DIAMOND DRESSER HOLDER"
"10168","INSERT SCREWS"
"10169","CL-9-BDP"
"10170","CROWDER"
"10172","DATUM POST"
"10173","REST PAD 1"
"10177","COPELAND 3D OP 10 DETAIL"
"10178","CAT BEARING CAPS ARM"
"10179","CAT BEARING CAP 241-8246 OP 10"
"10181","CHECK VALVE FOR CHUCK"
"10182","CYLINDER"
"10183","CYLINDER"
"10184","DIAMOND PIN DET 12"
"10185","ROUND PIN DET 10"
"10186","10F37KBC/IMP"
"10187","SAE-2 TO FLARED TUBE ELBOW"
"10188","SCREW REST PAD"
"10189","OP # 10 COLLET"
"10190","3/8 X 1-1/4 RED DIE SPRINGS"
"10191","NOSE CONE FOR FUJI FOR OP 10"
"10192","FACEMILL    EDP 3030040"
"10193","INSERTS"
"10194","62C75KSS/SP"
"10195","3/4-14 NPSF REK. 2A-TICN-MOD CHAMFER TO 1.5-2.0"
"10196","1/2"" DIAMETER X 3/8"" LONG SHOULDER BOLT"
"10197","V BLOCK FOR 7K KNUCKLE"
"10198","V BLOCK FOR 7K KNUCKLE"
"10199","TERCIARY CROWDER"
"10201","2"" END MILL HOLDER 9"" LENGTH"
"10203","STONE"
"10204","STONE"
"10205","STONE"
"10207","CHUCK CAT 50 12X1300MM SHRINK FIT"
"10208","CHUCK CAT 50 10X130MM SHRINK FIT"
"10209","TAP M5 X .8 ROLL FORM WIDIA"
"10210","CHUCK CAT 50 16X 130MM SHRINK FIT"
"10212","CHUCK CAT 50 6X 130MM SHRINK FIT"
"10213","COLLET CHUCK"
"10215","ER25 TAP COLLET"
"10216","SHELL MILL HOLDER"
"10217","STEEL CUTTER"
"10219","ULTRA MILL SCREW"
"10222","WRENCH OPEN END 3/16"" X 1/4 1ANF8"
"10223","CAT 50 X SF 12MM-150MM"
"10225","WRENCH PRE-SET TORQUE- T-45"
"10226","CARBIDE INSERT"
"10227","CARBIDE FORM INSERT"
"10228","90MM 4 STEP PCD REAMER"
"10229","CARBIDE INSERT"
"10232","DRILL ADAPTOR"
"10233","10 MM PCD REAMER"
"10234","89.85 PCD 2 STEP REAMER (PRO-4040)"
"10236","70MM X 90MM PCD FINISH REAMER"
"10237","M8 X 1.25 2.5D THRILLER"
"10238","M10 X 1.5 2XD JBO THRILLER"
"10239","70MM ROUGH X 121MM FINISH BORE"
"10241","SHIM SCREWS"
"10243","3/8 x 4 in HSAL 3FL SQ"
"10244","FOR TURBO ASI CHUCKS"
"10245","FOR TURBO ASI CHUCKS"
"10246","6K YOKE VERT TOP JAW BOLTS"
"10247","3""x 2.8mm 30 tooth slitting saw"
"10248","6MM PCD REAMER"
"10249","90MM ROUGH BORE TOOL -4903-111M"
"10250","188.5MM SAW ARBOR"
"10251","DETAIL 13 OP 10 END EFFECTORS"
"10252","CL-8-JRB"
"10253","7/16 - 14 x 1 SOCKET SET SCREW"
"10254","3/8 x 16 x 1/2 FULL DOG SOCKET SET SCREW"
"10256","11.1MM DRILL"
"10257",".224"" CARBIDE DRILL"
"10258",".182 DRILL X 9.06 C-BORE DRILL"
"10259","32MM CARBIDE ENDMILL"
"10260",".182 DRILL X 8.33 C-BORE DRILL"
"10261","LEAK TESTER PART"
"10262",".030RAD/NO WIPER/CHIP GUARD/ .200"
"10263","DEBURR BLADES"
"10264","DEBURRING SET ""A"" CLASSIC HANDLE  B HOLDER"
"10265",".373"" COOLANT FED DRILL"
"10268","6K HORIZONTAL FIXTURE REST PADS"
"10269","TOP VEE BLOCK"
"10270","BOTTOM VEE BLOCKS"
"10272","3.170MM DRILL"
"10273","4.5MM ENDMILL W/.5MM CR"
"10274","1.00MM DRILL"
"10275","M14 X 1.5MM TAP"
"10276",".3765 REAMER"
"10277",".5015 REAMER"
"10278","6MM ENDMILL"
"10279","4.76MM DRILL"
"10280","COMBO ROUGH BAR"
"10281","TWIN FINISH BAR"
"10282","FINISH BAR"
"10283","SOLID CARBIDE GROOVE CUTTER"
"10284","M16 PORT TOOL BODY"
"10285","PORT DRILL"
"10286","PORT TOOL INSERTS"
"10288","M14 PORT TOOL BODY"
"10289","M14 PORT DRILL"
"10290","PORT TOOL INSERTS"
"10293","SOLID CARBIDE DRILL"
"10294","STEP DRILL"
"10295","STEP DRILL"
"10297","V-LOCATOR FOR 7K KNUCKLE"
"10298","V-LOCATOR FOR 7K KNUCKLE"
"10299",".375"" DIA. X .250""LG MAGNETS"
"10300","V BLOCK FOR 6K KNUCKLE"
"10302","LOW HEAD SOCKET CAP SCREW"
"10304","CAT 40 OKUMA RETENTION KNOBS STD"
"10305","8"" FACEMILL"
"10306","22MM CAT 50 SHRINK FIT"
"10307","MEDIUM DIE SPRINGS"
"10308","HEAVY DUTY DIE SPRINGS"
"10310","5/8-11 THIN NYLON"
"10311","WASHER DETAILS"
"10312","ORIENTATION PIN"
"10313","STAKING TOOL"
"10314","HEAT SHRINK 20 X 160MM"
"10317","2.4MM DRILL"
"10318","SNAP FINGER"
"10319","SNAP FINGER -001"
"10320","JD SHANKS"
"10330","ROUND PIN"
"10331","DANA COMPANION FLANGE DIAMOND DRESSER"
"10333","RH SWING 45 DEG ROTATION"
"10334","FIXTURE COMPONENT"
